,병원명,주소,lat,lng
0,제주한라병원,대한민국 제주특별자치도 제주시 연동 도령로 65,33.4899863,126.4850919
1,제주대학교병원,대한민국 제주특별자치도 제주시 아라동 아란13길 15,33.4670429,126.5457559
2,한마음병원,"대한민국 제주특별자치도 제주시 특별자치도, 이도이동 연신로 52 KR",33.4962921,126.5462527
3,서귀포의료원,대한민국 제주특별자치도 서귀포시 동홍동 장수로 47,33.254995,126.5647515
4,제주중앙병원,대한민국 제주특별자치도 제주시 이호이동 월랑로 91,33.4922592,126.470738
5,한국병원,대한민국 제주특별자치도 제주시 삼도일동 서광로 193 한국병원,33.5002078,126.5170609
